Date : 2026-02-11 18:50:40
Directory : c:\Users\ajays\OneDrive\Desktop\project\healthdee
Total : 311 files,  35376 codes, 1300 comments, 5260 blanks, all 41936 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     15,656 |          0 |          3 |     15,659 |
| TypeScript JSX     |        200 |      9,372 |        522 |      1,464 |     11,358 |
| Markdown           |          4 |      5,572 |          0 |      2,730 |      8,302 |
| TypeScript         |         93 |      4,288 |        745 |      1,025 |      6,058 |
| MS SQL             |          2 |        180 |         16 |          1 |        197 |
| PostCSS            |          1 |        153 |          8 |         14 |        175 |
| JSON with Comments |          2 |        110 |          7 |          9 |        126 |
| PowerShell         |          1 |         25 |          0 |          9 |         34 |
| JavaScript         |          2 |         20 |          2 |          5 |         27 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        311 |     35,376 |      1,300 |      5,260 |     41,936 |
| . (Files)                                                                                                            |         15 |     13,370 |         12 |        107 |     13,489 |
| app                                                                                                                  |         81 |      2,902 |        269 |        553 |      3,724 |
| app (Files)                                                                                                          |          7 |        277 |         10 |         28 |        315 |
| app\(public)                                                                                                         |         11 |        260 |         15 |         47 |        322 |
| app\(public) (Files)                                                                                                 |          1 |          9 |          0 |          1 |         10 |
| app\(public)\(login-signup)                                                                                          |          6 |         98 |          7 |         29 |        134 |
| app\(public)\(login-signup) (Files)                                                                                  |          1 |         55 |          5 |         11 |         71 |
| app\(public)\(login-signup)\forgot-password                                                                          |          1 |          4 |          0 |          2 |          6 |
| app\(public)\(login-signup)\login                                                                                    |          1 |          4 |          0 |          2 |          6 |
| app\(public)\(login-signup)\reset-password                                                                           |          1 |          6 |          0 |          4 |         10 |
| app\(public)\(login-signup)\signup                                                                                   |          1 |          4 |          0 |          2 |          6 |
| app\(public)\(login-signup)\verify-email                                                                             |          1 |         25 |          2 |          8 |         35 |
| app\(public)\about                                                                                                   |          1 |         20 |          1 |          2 |         23 |
| app\(public)\help                                                                                                    |          1 |        114 |          7 |         12 |        133 |
| app\(public)\policies                                                                                                |          1 |          9 |          0 |          1 |         10 |
| app\(public)\select-role                                                                                             |          1 |         10 |          0 |          2 |         12 |
| app\admin                                                                                                            |         13 |        569 |         41 |         97 |        707 |
| app\admin (Files)                                                                                                    |          2 |         44 |          9 |         10 |         63 |
| app\admin\api                                                                                                        |          2 |        209 |         20 |         47 |        276 |
| app\admin\api\doctors                                                                                                |          2 |        209 |         20 |         47 |        276 |
| app\admin\api\doctors (Files)                                                                                        |          1 |        119 |          8 |         23 |        150 |
| app\admin\api\doctors\[id]                                                                                           |          1 |         90 |         12 |         24 |        126 |
| app\admin\appointment-requests                                                                                       |          1 |         67 |          4 |          7 |         78 |
| app\admin\clinics                                                                                                    |          1 |         69 |          4 |          7 |         80 |
| app\admin\dashboard                                                                                                  |          1 |          9 |          0 |          1 |         10 |
| app\admin\doctor                                                                                                     |          3 |         94 |          0 |         16 |        110 |
| app\admin\doctor (Files)                                                                                             |          1 |         32 |          0 |          6 |         38 |
| app\admin\doctor\[doctorId]                                                                                          |          1 |         46 |          0 |          7 |         53 |
| app\admin\doctor\[doctorId]\edit                                                                                     |          1 |         46 |          0 |          7 |         53 |
| app\admin\doctor\create                                                                                              |          1 |         16 |          0 |          3 |         19 |
| app\admin\doctors-verification                                                                                       |          1 |         59 |          4 |          7 |         70 |
| app\admin\settings                                                                                                   |          1 |          9 |          0 |          1 |         10 |
| app\admin\users                                                                                                      |          1 |          9 |          0 |          1 |         10 |
| app\api                                                                                                              |         18 |        615 |         88 |        185 |        888 |
| app\api\admin                                                                                                        |          1 |         23 |          8 |          8 |         39 |
| app\api\admin\metrics                                                                                                |          1 |         23 |          8 |          8 |         39 |
| app\api\appointments                                                                                                 |          2 |        104 |         40 |         37 |        181 |
| app\api\appointments (Files)                                                                                         |          1 |         51 |         17 |         19 |         87 |
| app\api\appointments\[id]                                                                                            |          1 |         53 |         23 |         18 |         94 |
| app\api\auth                                                                                                         |          7 |        158 |         10 |         39 |        207 |
| app\api\auth\login                                                                                                   |          1 |         53 |          3 |         12 |         68 |
| app\api\auth\logout                                                                                                  |          1 |          9 |          0 |          2 |         11 |
| app\api\auth\me                                                                                                      |          1 |         15 |          7 |          4 |         26 |
| app\api\auth\otp                                                                                                     |          2 |         37 |          0 |         10 |         47 |
| app\api\auth\otp\request                                                                                             |          1 |         16 |          0 |          5 |         21 |
| app\api\auth\otp\verify                                                                                              |          1 |         21 |          0 |          5 |         26 |
| app\api\auth\refresh                                                                                                 |          1 |         17 |          0 |          4 |         21 |
| app\api\auth\register                                                                                                |          1 |         27 |          0 |          7 |         34 |
| app\api\doctors                                                                                                      |          3 |        128 |         15 |         40 |        183 |
| app\api\doctors (Files)                                                                                              |          1 |         43 |          2 |         13 |         58 |
| app\api\doctors\[id]                                                                                                 |          2 |         85 |         13 |         27 |        125 |
| app\api\doctors\[id] (Files)                                                                                         |          1 |         45 |          2 |         16 |         63 |
| app\api\doctors\[id]\verify                                                                                          |          1 |         40 |         11 |         11 |         62 |
| app\api\health                                                                                                       |          1 |         11 |          1 |          3 |         15 |
| app\api\patients                                                                                                     |          2 |        101 |         12 |         32 |        145 |
| app\api\patients (Files)                                                                                             |          1 |         24 |          4 |          9 |         37 |
| app\api\patients\[id]                                                                                                |          1 |         77 |          8 |         23 |        108 |
| app\api\users                                                                                                        |          2 |         90 |          2 |         26 |        118 |
| app\api\users (Files)                                                                                                |          1 |         22 |          0 |          7 |         29 |
| app\api\users\[id]                                                                                                   |          1 |         68 |          2 |         19 |         89 |
| app\clinics                                                                                                          |          9 |        490 |         15 |         60 |        565 |
| app\clinics (Files)                                                                                                  |          1 |          9 |          0 |          1 |         10 |
| app\clinics\[id]                                                                                                     |          8 |        481 |         15 |         59 |        555 |
| app\context                                                                                                          |          1 |        100 |         25 |         23 |        148 |
| app\doctor                                                                                                           |         11 |        322 |         26 |         50 |        398 |
| app\doctor (Files)                                                                                                   |          1 |         19 |          4 |          4 |         27 |
| app\doctor\appointments                                                                                              |          2 |        164 |         12 |         21 |        197 |
| app\doctor\appointments (Files)                                                                                      |          1 |         50 |          3 |          6 |         59 |
| app\doctor\appointments\[id]                                                                                         |          1 |        114 |          9 |         15 |        138 |
| app\doctor\dashboard                                                                                                 |          3 |         61 |          5 |         12 |         78 |
| app\doctor\earnings                                                                                                  |          1 |         18 |          3 |          4 |         25 |
| app\doctor\onboarding                                                                                                |          1 |          9 |          0 |          1 |         10 |
| app\doctor\prescriptions                                                                                             |          1 |         25 |          2 |          4 |         31 |
| app\doctor\settings                                                                                                  |          1 |         17 |          0 |          3 |         20 |
| app\doctor\verification                                                                                              |          1 |          9 |          0 |          1 |         10 |
| app\doctors                                                                                                          |          3 |         74 |          6 |         17 |         97 |
| app\doctors\booking                                                                                                  |          3 |         74 |          6 |         17 |         97 |
| app\doctors\booking (Files)                                                                                          |          2 |         34 |          0 |          7 |         41 |
| app\doctors\booking\confirmation                                                                                     |          1 |         40 |          6 |         10 |         56 |
| app\patient                                                                                                          |          6 |         89 |         11 |         16 |        116 |
| app\patient (Files)                                                                                                  |          1 |         36 |         11 |         10 |         57 |
| app\patient\appointments                                                                                             |          2 |         18 |          0 |          2 |         20 |
| app\patient\appointments (Files)                                                                                     |          1 |          9 |          0 |          1 |         10 |
| app\patient\appointments\book                                                                                        |          1 |          9 |          0 |          1 |         10 |
| app\patient\dashboard                                                                                                |          1 |         17 |          0 |          2 |         19 |
| app\patient\profile                                                                                                  |          1 |          9 |          0 |          1 |         10 |
| app\patient\records                                                                                                  |          1 |          9 |          0 |          1 |         10 |
| app\services                                                                                                         |          1 |         76 |         25 |         23 |        124 |
| app\types                                                                                                            |          1 |         30 |          7 |          7 |         44 |
| components                                                                                                           |        125 |      6,205 |        183 |        855 |      7,243 |
| components\about                                                                                                     |         13 |        339 |         25 |         49 |        413 |
| components\about\about-hero                                                                                          |          2 |         44 |          5 |         11 |         60 |
| components\about\core-values                                                                                         |          2 |         65 |          5 |          9 |         79 |
| components\about\final-cta                                                                                           |          1 |         32 |          1 |          4 |         37 |
| components\about\impact-stats                                                                                        |          2 |         48 |          2 |          5 |         55 |
| components\about\our-story                                                                                           |          4 |         90 |          8 |         13 |        111 |
| components\about\trust-badges                                                                                        |          2 |         60 |          4 |          7 |         71 |
| components\admin                                                                                                     |         31 |      1,538 |         27 |        214 |      1,779 |
| components\admin (Files)                                                                                             |          5 |        298 |         14 |         42 |        354 |
| components\admin\appointment-requests                                                                                |          7 |        287 |          7 |         41 |        335 |
| components\admin\clinic                                                                                              |          6 |        205 |          0 |         34 |        239 |
| components\admin\doctor                                                                                              |          6 |        472 |          0 |         58 |        530 |
| components\admin\doctor-verification                                                                                 |          7 |        276 |          6 |         39 |        321 |
| components\auth                                                                                                      |         12 |        672 |         14 |        122 |        808 |
